category	extension	common_app_or_tool	description
Expected UTF-8 text files	10K	SEC EDGAR	SEC Form 10-K annual report filing, often stored as plain text or HTML.
Expected UTF-8 text files	S	GNU assembler / GCC	Preprocessed assembly source file.
Expected UTF-8 text files	as	Adobe Animate / ActionScript	ActionScript source code.
Expected UTF-8 text files	b64	base64 utility	Base64-encoded text payload.
Expected UTF-8 text files	base64	base64 utility	Base64-encoded text payload.
Expected UTF-8 text files	bzl	Bazel	Starlark build definitions loaded by Bazel.
Expected UTF-8 text files	c	GCC / Clang	C source code.
Expected UTF-8 text files	cc	GCC / Clang	C++ source code.
Expected UTF-8 text files	cjs	Node.js	CommonJS JavaScript module.
Expected UTF-8 text files	cpp	GCC / Clang	C++ source code.
Expected UTF-8 text files	cs	.NET SDK / Visual Studio	C# source code.
Expected UTF-8 text files	cshtml	ASP.NET Razor	Razor view template combining HTML and C#.
Expected UTF-8 text files	css	Web browser	Cascading Style Sheets stylesheet.
Expected UTF-8 text files	csv	Excel / Google Sheets	Comma-separated tabular data.
Expected UTF-8 text files	drawio	diagrams.net	XML diagram document used by draw.io/diagrams.net.
Expected UTF-8 text files	eml	Outlook / Thunderbird	RFC 5322 email message source.
Expected UTF-8 text files	eps	Adobe Illustrator / Ghostscript	Encapsulated PostScript vector graphic source.
Expected UTF-8 text files	excalidraw	Excalidraw	JSON drawing document used by Excalidraw.
Expected UTF-8 text files	go	Go toolchain	Go source code.
Expected UTF-8 text files	golden	Test framework	Golden expected-output fixture for tests.
Expected UTF-8 text files	graphml	yEd / Gephi	GraphML XML graph document.
Expected UTF-8 text files	h	GCC / Clang	C or C++ header file.
Expected UTF-8 text files	hpp	GCC / Clang	C++ header file.
Expected UTF-8 text files	html	Web browser	HyperText Markup Language document.
Expected UTF-8 text files	in	Autoconf / build tools	Input template consumed by build/configuration generators.
Expected UTF-8 text files	inc	Text editor / compiler	Include fragment for another source or config file.
Expected UTF-8 text files	ipynb	Jupyter Notebook	Notebook JSON containing cells, metadata, and outputs.
Expected UTF-8 text files	java	JDK / IntelliJ IDEA	Java source code.
Expected UTF-8 text files	js	Web browser / Node.js	JavaScript source code.
Expected UTF-8 text files	json	APIs / config tools	JSON structured data document.
Expected UTF-8 text files	jsonl	Log pipelines / data tools	Newline-delimited JSON records.
Expected UTF-8 text files	lock	Package manager	Dependency lockfile generated by a package manager.
Expected UTF-8 text files	log	Log viewer / text editor	Plain-text log output.
Expected UTF-8 text files	map	Browser devtools	Source map or mapping data file.
Expected UTF-8 text files	md	GitHub / Markdown renderer	Markdown document.
Expected UTF-8 text files	mdx	MDX / React docs	Markdown with JSX components.
Expected UTF-8 text files	mht	Web browser / Outlook	MHTML web archive stored as MIME text.
Expected UTF-8 text files	min	Web browser / bundler	Minified text asset, commonly JavaScript or CSS.
Expected UTF-8 text files	mjs	Node.js / web browser	ECMAScript JavaScript module.
Expected UTF-8 text files	nix	Nix	Nix expression or package definition.
Expected UTF-8 text files	out	Text editor / test runner	Captured command or test output.
Expected UTF-8 text files	patch	Git	Unified diff patch file.
Expected UTF-8 text files	pbtxt	Protocol Buffers / TensorFlow	Protocol Buffer text-format file.
Expected UTF-8 text files	pem	OpenSSL	PEM-armored certificate, key, or other cryptographic data.
Expected UTF-8 text files	plist	Xcode / plutil	Apple property list, often XML text.
